hidden_layers,step_size,epoch,set_name,loss
3,0.01,0,subtrain,0.691533774137497
3,0.01,0,validation,0.6911999583244324
3,0.01,1,subtrain,0.686708003282547
3,0.01,1,validation,0.6864040195941925
3,0.01,2,subtrain,0.6827182471752167
3,0.01,2,validation,0.6824638247489929
3,0.01,3,subtrain,0.6793536841869354
3,0.01,3,validation,0.679169237613678
3,0.01,4,subtrain,0.676251620054245
3,0.01,4,validation,0.6761126518249512
3,0.01,5,subtrain,0.6736285090446472
3,0.01,5,validation,0.673566609621048
3,0.01,6,subtrain,0.6712524592876434
3,0.01,6,validation,0.6712660789489746
3,0.01,7,subtrain,0.6690000593662262
3,0.01,7,validation,0.669074535369873
3,0.01,8,subtrain,0.666898787021637
3,0.01,8,validation,0.6670757234096527
3,0.01,9,subtrain,0.6647891402244568
3,0.01,9,validation,0.6650383472442627
3,0.01,10,subtrain,0.6628044247627258
3,0.01,10,validation,0.6631488800048828
3,0.01,11,subtrain,0.6607780158519745
3,0.01,11,validation,0.6612071692943573
3,0.01,12,subtrain,0.6587199866771698
3,0.01,12,validation,0.6592348515987396
3,0.01,13,subtrain,0.6565201580524445
3,0.01,13,validation,0.657086193561554
3,0.01,14,subtrain,0.6542901992797852
3,0.01,14,validation,0.6549627184867859
3,0.01,15,subtrain,0.6518894731998444
3,0.01,15,validation,0.6526646316051483
3,0.01,16,subtrain,0.6492816507816315
3,0.01,16,validation,0.6501446664333344
3,0.01,17,subtrain,0.6464521884918213
3,0.01,17,validation,0.6474219262599945
3,0.01,18,subtrain,0.6433692276477814
3,0.01,18,validation,0.6444371938705444
3,0.01,19,subtrain,0.6399440765380859
3,0.01,19,validation,0.6411026418209076
3,0.01,20,subtrain,0.6361631751060486
3,0.01,20,validation,0.6374322175979614
3,0.01,21,subtrain,0.6319709718227386
3,0.01,21,validation,0.6333628594875336
3,0.01,22,subtrain,0.6272971928119659
3,0.01,22,validation,0.6288435757160187
3,0.01,23,subtrain,0.6220231056213379
3,0.01,23,validation,0.6236951351165771
3,0.01,24,subtrain,0.6161628365516663
3,0.01,24,validation,0.6179953217506409
3,0.01,25,subtrain,0.6095626950263977
3,0.01,25,validation,0.611537903547287
3,0.01,26,subtrain,0.6021745204925537
3,0.01,26,validation,0.6043074131011963
3,0.01,27,subtrain,0.5938831269741058
3,0.01,27,validation,0.5961805880069733
