hidden_layers,step_size,epoch,set_name,loss
2,0.1,0,subtrain,0.5967335104942322
2,0.1,0,validation,0.5972050428390503
2,0.1,1,subtrain,0.4504704177379608
2,0.1,1,validation,0.4515087753534317
2,0.1,2,subtrain,0.3276359140872955
2,0.1,2,validation,0.3314436674118042
2,0.1,3,subtrain,0.2702864110469818
2,0.1,3,validation,0.2795536965131759
2,0.1,4,subtrain,0.2389745265245437
2,0.1,4,validation,0.2538515627384186
2,0.1,5,subtrain,0.2193362340331077
2,0.1,5,validation,0.2401607409119606
2,0.1,6,subtrain,0.2042169794440269
2,0.1,6,validation,0.230793185532093
2,0.1,7,subtrain,0.1939063146710395
2,0.1,7,validation,0.2245515957474708
2,0.1,8,subtrain,0.1841391995549202
2,0.1,8,validation,0.2189037501811981
2,0.1,9,subtrain,0.175243578851223
2,0.1,9,validation,0.2133179903030395
2,0.1,10,subtrain,0.1686942279338836
2,0.1,10,validation,0.2099569886922836
2,0.1,11,subtrain,0.1618809029459953
2,0.1,11,validation,0.2059697210788726
2,0.1,12,subtrain,0.1579588130116462
2,0.1,12,validation,0.2044639512896537
2,0.1,13,subtrain,0.1524955555796623
2,0.1,13,validation,0.2020746693015098
2,0.1,14,subtrain,0.1479698568582534
2,0.1,14,validation,0.1996469125151634
2,0.1,15,subtrain,0.1439131945371627
2,0.1,15,validation,0.1978747174143791
2,0.1,16,subtrain,0.1437691897153854
2,0.1,16,validation,0.1988705322146415
2,0.1,17,subtrain,0.1373078003525734
2,0.1,17,validation,0.1949057504534721
2,0.1,18,subtrain,0.1344095394015312
2,0.1,18,validation,0.1936783343553543
2,0.1,19,subtrain,0.1325329467654228
2,0.1,19,validation,0.1964034810662269
2,0.1,20,subtrain,0.1318831667304039
2,0.1,20,validation,0.1966098174452781
2,0.1,21,subtrain,0.1261942721903324
2,0.1,21,validation,0.1935837492346763
2,0.1,22,subtrain,0.1236913092434406
2,0.1,22,validation,0.1921175867319107
2,0.1,23,subtrain,0.1227365732192993
2,0.1,23,validation,0.1885482668876648
2,0.1,24,subtrain,0.1182379648089408
2,0.1,24,validation,0.188945472240448
2,0.1,25,subtrain,0.1157102771103382
2,0.1,25,validation,0.1901061683893203
2,0.1,26,subtrain,0.1244465671479702
2,0.1,26,validation,0.1974851638078689
2,0.1,27,subtrain,0.1129559427499771
2,0.1,27,validation,0.189757339656353
2,0.1,28,subtrain,0.1103797890245914
2,0.1,28,validation,0.1928332597017288
2,0.1,29,subtrain,0.1073852814733982
2,0.1,29,validation,0.1890125870704651
2,0.1,30,subtrain,0.1049026921391487
2,0.1,30,validation,0.1909263655543327
2,0.1,31,subtrain,0.10545464605093
2,0.1,31,validation,0.1942882761359214
2,0.1,32,subtrain,0.1089714765548706
2,0.1,32,validation,0.1918442994356155
2,0.1,33,subtrain,0.0995555594563484
2,0.1,33,validation,0.1893351376056671
2,0.1,34,subtrain,0.0995751321315765
2,0.1,34,validation,0.1912640407681465
2,0.1,35,subtrain,0.0966431051492691
2,0.1,35,validation,0.1910716518759727
2,0.1,36,subtrain,0.0955857224762439
2,0.1,36,validation,0.1910793110728263
2,0.1,37,subtrain,0.0961007252335548
2,0.1,37,validation,0.1936510950326919
2,0.1,38,subtrain,0.0933597907423973
2,0.1,38,validation,0.1902654320001602
2,0.1,39,subtrain,0.0908637754619121
2,0.1,39,validation,0.1928198635578155
2,0.1,40,subtrain,0.0934108719229698
2,0.1,40,validation,0.1966233626008033
2,0.1,41,subtrain,0.0867197550833225
2,0.1,41,validation,0.1934039890766143
2,0.1,42,subtrain,0.0849775969982147
2,0.1,42,validation,0.192521296441555
2,0.1,43,subtrain,0.083674032241106
2,0.1,43,validation,0.1906291991472244
2,0.1,44,subtrain,0.1155645735561847
2,0.1,44,validation,0.2238955944776535
2,0.1,45,subtrain,0.0899561122059822
2,0.1,45,validation,0.2027446329593658
2,0.1,46,subtrain,0.0877984873950481
2,0.1,46,validation,0.2005015164613723
2,0.1,47,subtrain,0.0780498348176479
2,0.1,47,validation,0.1936681345105171
2,0.1,48,subtrain,0.076971385627985
2,0.1,48,validation,0.1972807273268699
2,0.1,49,subtrain,0.0788433924317359
2,0.1,49,validation,0.1991539672017097
2,0.1,50,subtrain,0.0745186544954776
2,0.1,50,validation,0.1946861818432808
2,0.1,51,subtrain,0.0767100229859352
2,0.1,51,validation,0.2012270390987396
2,0.1,52,subtrain,0.0750593729317188
2,0.1,52,validation,0.2025851607322693
2,0.1,53,subtrain,0.0716578513383865
2,0.1,53,validation,0.199096217751503
2,0.1,54,subtrain,0.0696764141321182
2,0.1,54,validation,0.1984648406505584
2,0.1,55,subtrain,0.0679302997887134
2,0.1,55,validation,0.1986260190606117
2,0.1,56,subtrain,0.0671143010258674
2,0.1,56,validation,0.197493702173233
2,0.1,57,subtrain,0.0678649619221687
2,0.1,57,validation,0.202081024646759
2,0.1,58,subtrain,0.0648997910320758
2,0.1,58,validation,0.1999863758683204
2,0.1,59,subtrain,0.0666073039174079
2,0.1,59,validation,0.2042044922709465
2,0.1,60,subtrain,0.0628771316260099
2,0.1,60,validation,0.2026145458221435
2,0.1,61,subtrain,0.0723499357700347
2,0.1,61,validation,0.2154838368296623
2,0.1,62,subtrain,0.0956924967467784
2,0.1,62,validation,0.2348892390727996
2,0.1,63,subtrain,0.0614030491560697
2,0.1,63,validation,0.2066166847944259
2,0.1,64,subtrain,0.0596851594746112
2,0.1,64,validation,0.2048027217388153
2,0.1,65,subtrain,0.0583378802984952
2,0.1,65,validation,0.2045137658715248
2,0.1,66,subtrain,0.056948347017169
2,0.1,66,validation,0.2072244435548782
2,0.1,67,subtrain,0.0617139656096696
2,0.1,67,validation,0.2122514247894287
2,0.1,68,subtrain,0.0568133220076561
2,0.1,68,validation,0.2110320180654525
2,0.1,69,subtrain,0.0616039615124464
2,0.1,69,validation,0.2173551768064499
2,0.1,70,subtrain,0.0546450223773717
2,0.1,70,validation,0.2140504866838455
2,0.1,71,subtrain,0.0554108824580907
2,0.1,71,validation,0.2130297422409057
2,0.1,72,subtrain,0.0539694000035524
2,0.1,72,validation,0.2137186825275421
2,0.1,73,subtrain,0.0533117577433586
2,0.1,73,validation,0.2178249880671501
2,0.1,74,subtrain,0.0512049738317728
2,0.1,74,validation,0.2151637077331543
2,0.1,75,subtrain,0.0505827162414789
2,0.1,75,validation,0.2154171466827392
2,0.1,76,subtrain,0.0537047199904918
2,0.1,76,validation,0.223181314766407
2,0.1,77,subtrain,0.1419551242142915
2,0.1,77,validation,0.3001399636268616
2,0.1,78,subtrain,0.0488430075347423
2,0.1,78,validation,0.2179482579231262
2,0.1,79,subtrain,0.0483320206403732
2,0.1,79,validation,0.2208058685064315
2,0.1,80,subtrain,0.0713837426155805
2,0.1,80,validation,0.2429067865014076
2,0.1,81,subtrain,0.0518921632319688
2,0.1,81,validation,0.2235473394393921
2,0.1,82,subtrain,0.0632192511111497
2,0.1,82,validation,0.2390593141317367
2,0.1,83,subtrain,0.0707043688744306
2,0.1,83,validation,0.249938428401947
2,0.1,84,subtrain,0.044793251901865
2,0.1,84,validation,0.2264830842614174
